Generation,Transportation,Workload,Delay,Unrecycled
26,377.07,87.79,378.22,85
26,367.5,60.87,421.26,85
26,363.44,90,361.04,90
26,340.47,5.8,553.92,85
26,520.53,126.65,233,98
26,407.68,105.68,236.8,85
27,372.07,87.44,137.67,132
27,369.64,102.31,242.83,90
27,359.77,86.93,334.43,109
27,478.03,156.15,460.29,82
27,361.58,87.25,160.42,132
27,359.77,86.93,334.43,109
27,359.77,86.93,334.43,109
27,369.64,102.31,242.83,90
27,326.85,46.31,199.78,132
27,363.44,90,361.04,90
27,412.31,70.63,415.4,92
27,424.73,117.69,794.63,56
27,442.53,76.23,354.07,101
27,328.63,45.32,248.71,127
27,387.02,90.22,556.52,59
27,328.44,161.53,1264.5,109
27,387.35,96.95,335.69,83
27,378.24,89.74,298.92,85
27,368.41,84.51,137.67,151
27,495.2,112.83,535.24,75
27,407.61,72.01,322.98,106
27,326.85,46.31,199.78,132
27,416.63,95.42,238.04,85
27,359.77,86.93,334.43,109
27,347.65,62.54,423.48,90
27,337.4,135.75,870.33,109
27,365.22,89.85,409.96,85
27,365.97,99.68,216.21,109
27,361.56,86.8,383.35,104
27,372.07,87.44,137.67,132
27,442.53,76.23,354.07,101
28,395.02,82.61,203.46,85
28,424.73,117.69,794.63,56
28,387.02,90.22,556.52,59
28,424.73,117.69,794.63,56
28,368.41,84.51,137.67,151
28,387.2,109.02,291.75,85
28,360.67,56.25,242.83,90
28,321.57,156.67,1436.58,104
28,424.73,117.69,794.63,56
28,378.24,89.74,298.92,85
28,326.85,46.31,199.78,132
28,424.73,117.69,794.63,56
28,361.58,87.25,160.42,132
28,368.41,84.51,137.67,151
28,368.41,84.51,137.67,151
28,383.35,87.42,529.91,78
28,376.98,80.93,160.42,127
28,359.77,86.93,334.43,109
28,378.24,89.74,298.92,85
28,359.77,86.93,334.43,109
28,355.68,180.79,1947.13,59
28,361.58,87.25,160.42,132
28,387.35,91.31,98.31,151
28,377.56,80.72,160.42,106
28,344.41,73.11,248.71,127
28,360.67,56.25,242.83,90
28,473.37,115.92,360.05,59
28,326.85,46.31,199.78,132
29,378.24,89.74,298.92,85
29,378.28,93.24,777.01,56
29,431.08,85.97,625.96,56
29,368.41,84.51,137.67,151
29,387.02,90.22,556.52,59
29,368.41,84.51,137.67,151
29,376.98,80.93,160.42,127
29,378.24,89.74,298.92,85
29,350.74,149.3,690.97,109
29,432.82,91.98,291.85,56
29,378.63,50.19,242.83,85
29,359.77,86.93,334.43,109
29,376.98,80.93,160.42,127
29,387.25,89.93,193.76,104
29,321.57,156.67,1436.58,104
29,357.91,84.18,160.42,151
29,365.22,89.85,409.96,85
29,378.24,89.74,298.92,85
29,361.58,87.25,160.42,132
29,361.58,87.25,160.42,132
29,361.58,87.25,160.42,132
29,361.58,87.25,160.42,132
29,360.67,56.25,242.83,90
29,360.67,56.25,242.83,90
29,395.4,99.45,203.46,90
29,360.67,56.25,242.83,90
29,378.24,89.74,298.92,85
29,342.63,73.16,199.78,132
29,378.24,89.74,298.92,85
29,344.41,73.11,248.71,127
29,395.4,99.45,203.46,90
30,376.46,89.68,242.83,90
30,376.98,80.93,160.42,127
